"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","562","[HTTP][Kafka] Operation events. In progress purchase operation","tests.suites.http","Sun Apr 26 13:30:41 UTC 2026","passed","Sun Apr 26 13:30:42 UTC 2026","TestOperationsHTTP","test_operations","",""
"","514","[gRPC][Kafka] Operation events. Completed purchase operation","tests.suites.gprc","Sun Apr 26 13:30:40 UTC 2026","passed","Sun Apr 26 13:30:40 UTC 2026","TestOperationsGRPC","test_operations","",""
"","13","[HTTP][Postgres] Filter by account id. Completed purchase operation","tests.suites.http","Sun Apr 26 13:30:43 UTC 2026","passed","Sun Apr 26 13:30:43 UTC 2026","TestOperationsHTTP","test_operations","",""
"","558","[HTTP][Kafka] Operation events. Completed purchase operation","tests.suites.http","Sun Apr 26 13:30:42 UTC 2026","passed","Sun Apr 26 13:30:42 UTC 2026","TestOperationsHTTP","test_operations","",""
"","5","[HTTP][Postgres] Filter by card id. In progress purchase operation","tests.suites.http","Sun Apr 26 13:30:42 UTC 2026","broken","Sun Apr 26 13:30:42 UTC 2026","TestOperationsHTTP","test_operations","",""
"","23","[gRPC] Get user details. User with active credit card account","tests.suites.gprc","Sun Apr 26 13:30:39 UTC 2026","passed","Sun Apr 26 13:30:39 UTC 2026","TestGatewayGRPC","test_gateway","",""
"","52","[HTTP] Get account details. User with active debit card account","tests.suites.http","Sun Apr 26 13:30:41 UTC 2026","passed","Sun Apr 26 13:30:41 UTC 2026","TestGatewayHTTP","test_gateway","",""
"","23","[gRPC][Postgres] Filter by card id. In progress purchase operation","tests.suites.gprc","Sun Apr 26 13:30:40 UTC 2026","broken","Sun Apr 26 13:30:40 UTC 2026","TestOperationsGRPC","test_operations","",""
"","15","[gRPC][Postgres] Filter by account id. Completed purchase operation","tests.suites.gprc","Sun Apr 26 13:30:41 UTC 2026","passed","Sun Apr 26 13:30:41 UTC 2026","TestOperationsGRPC","test_operations","",""
"","24","[gRPC] Get account details. User with active debit card account","tests.suites.gprc","Sun Apr 26 13:30:39 UTC 2026","passed","Sun Apr 26 13:30:39 UTC 2026","TestGatewayGRPC","test_gateway","",""
"","557","[gRPC][Kafka] Operation events. In progress purchase operation","tests.suites.gprc","Sun Apr 26 13:30:39 UTC 2026","passed","Sun Apr 26 13:30:40 UTC 2026","TestOperationsGRPC","test_operations","",""
"","67","[HTTP] Get user details. User with active credit card account","tests.suites.http","Sun Apr 26 13:30:41 UTC 2026","passed","Sun Apr 26 13:30:41 UTC 2026","TestGatewayHTTP","test_gateway","",""
